,0
0,19.071646838578747
1,45.8557166698895
2,79.32560918057578
3,118.16146821333146
4,161.27897376092267
5,207.84380000524652
6,257.18504433542927
7,308.7864774244589
8,362.21370721435187
9,417.13554372250945
10,473.2600608584462
11,530.3701478014934
12,588.2644624210503
13,646.7998885825216
14,705.8345734135479
15,765.2746482361508
16,825.0181392710143
17,885.0045336073218
18,945.1589817762112
19,1005.4438652189593
20,1065.8029872480229
21,1126.2146121880928
22,1186.6354796872204
23,1247.0548290488853
24,1307.438835000846
25,1367.7837267614373
26,1428.063460948882
27,1488.277894319415
28,1548.4077778668639
29,1608.4543484677351
30,1668.4042111885044
31,1728.2587517969378
32,1788.0093550617833
33,1847.6571050941525
34,1907.1970094786748
35,1966.6298650426224
36,2025.9532160421575
37,2085.167762561777
38,2144.2727008091824
39,2203.268815170908
40,2262.1563190149927
41,2320.936179965371
42,2379.609217689516
43,2438.176602725896
44,2496.63951306394
45,2554.9992942144577
46,2613.25733667852
47,2671.4151153925363
48,2729.4741458181743
49,2787.435987116528
50,2845.3022242921234
51,2903.0744631372418
52,2960.754321122898
53,3018.343421906543
54,3075.8433896901392
55,3133.2558448884415
56,3190.5824003007015
57,3247.824657970236
58,3304.9842065296
59,3362.062619001863
60,3419.0614509773777
61,3475.9822391176617
62,3532.8264999374724
63,3589.595728825731
64,3646.2913992706717
65,3702.9149622597747
66,3759.467845829118
67,3815.9514547403824
68,3872.3671702667984
69,3928.716350071944
70,3985.0003281675677
71,4041.22041493853
72,4097.377897224631
73,4153.474038450505
74,4209.51007879601
75,4265.487235400578
76,4321.406702595912
77,4377.26965216219
78,4433.077233603628
79,4488.830574439809
80,4544.5307805097145
81,4600.178936285797
82,4655.776105195844
83,4711.323329950658
84,4766.821632875896
85,4822.272016246635
86,4877.675462623425
87,4933.032935188803
88,4988.345378083357
89,5043.613716740588
90,5098.838858219933
91,5154.021691537397
92,5209.163087993333
93,5264.263901497002
94,5319.324968887579
95,5374.347110251348
96,5429.331129234863
97,5484.27781335392
98,5539.187934298172
99,5594.0622482313065
100,5648.901496086681
