,0
0,24.2945085599649
1,68.14464711526725
2,118.01189636191276
3,171.83142169334516
4,228.13911806059534
5,285.91484308855496
6,344.44848873380136
7,403.24745433161155
8,461.97202328456194
9,520.2919221522025
10,578.1546339567293
11,635.4650584997494
12,692.1686739683726
13,748.2401914873673
14,803.6752337810466
15,858.4841952823804
16,912.6876906181305
17,966.3131723343315
18,1019.3924169377242
19,1071.9596605911233
20,1124.0502238237739
21,1175.6995060788201
22,1226.9422608980828
23,1277.8120844554992
24,1328.3410791977954
25,1378.5597677916599
26,1428.4966298913962
27,1478.1782200750574
28,1527.629156554339
29,1576.8721481892746
30,1625.928049006282
31,1674.815931830511
32,1723.5531745250012
33,1772.1249839727866
34,1820.5770553074958
35,1868.9222256486548
36,1917.1720298091177
37,1965.3370553254917
38,2013.426511753653
39,2061.4292704886425
40,2109.372680167954
41,2157.263028409916
42,2205.105801483871
43,2252.9057414408194
44,2300.666897205516
45,2348.3926692200166
46,2396.0858475070268
47,2443.7487427219803
48,2491.2988626911856
49,2538.782436777955
50,2586.2382792676794
51,2633.667012935169
52,2681.068725041244
53,2728.4429762448162
54,2775.7445078978567
55,2822.9670187191796
56,2870.1427061229074
57,2917.2828759632653
58,2964.338439242699
59,3011.3037301456693
60,3058.2112762495735
61,3104.9902009092366
62,3151.71446696059
63,3198.38049568369
64,3244.9836844611236
65,3291.5186096534485
66,3337.9790400815764
67,3384.327167767855
68,3430.5485697031077
69,3476.6303745785863
70,3522.5950785012396
71,3568.4456823666396
72,3614.1191538772678
73,3659.6583109729786
74,3705.0518251530766
75,3750.2877048216565
76,3795.2555900431735
77,3840.043725220009
78,3884.6393179650736
79,3928.9856916726294
80,3973.06630366306
81,4016.8462051606243
82,4060.3130868754565
83,4103.537660920561
84,4146.430366716603
85,4189.057215871283
86,4231.354121374408
87,4273.312999445229
88,4314.8936003610315
89,4356.244169813432
90,4397.339602002841
91,4438.1448085250995
92,4478.6748415855645
93,4519.0283301420295
94,4559.123839178972
95,4599.2786630798055
96,4639.665476712822
97,4680.400006724527
98,4721.636330456641
99,4763.444277699717
100,4805.763904891266
