,0
0,24.2945085599649
1,43.85013855530235
2,49.867249246645514
3,53.8195253314324
4,56.30769636725017
5,57.77572502795964
6,58.53364564524637
7,58.79896559781021
8,58.724568952950406
9,58.319898867640546
10,57.86271180452684
11,57.31042454302006
12,56.703615468623205
13,56.071517518994725
14,55.43504229367931
15,54.80896150133384
16,54.20349533575013
17,53.62548171620099
18,53.079244603392716
19,52.56724365339917
20,52.09056323265058
21,51.64928225504618
22,51.24275481926281
23,50.86982355741641
24,50.528994742296106
25,50.21868859386445
26,49.93686209973629
27,49.68159018366127
28,49.450936479281694
29,49.242991634935564
30,49.05590081700726
31,48.8878828242291
32,48.73724269449009
33,48.57180944778535
34,48.452071334709196
35,48.345170341159125
36,48.24980416046278
37,48.16502551637395
38,48.08945642816114
39,48.002758734989676
40,47.94340967931177
41,47.89034824196181
42,47.842773073955165
43,47.79993995694837
44,47.761155764696305
45,47.7257720145007
46,47.69317828700997
47,47.66289521495345
48,47.55011996920516
49,47.48357408676943
50,47.45584248972476
51,47.42873366748986
52,47.401712106074555
53,47.37425120357245
54,47.301531653040485
55,47.222510821323
56,47.17568740372764
57,47.140169840358055
58,47.05556327943388
59,46.96529090296998
60,46.90754610390417
61,46.77892465966322
62,46.7242660513536
63,46.66602872309983
64,46.60318877743378
65,46.534925192324714
66,46.46043042812776
67,46.348127686278445
68,46.22140193525274
69,46.081804875478504
70,45.96470392265337
71,45.850603865400025
72,45.6734715106282
73,45.53915709571083
74,45.39351418009789
75,45.23587966857988
76,44.9678852215168
77,44.78813517683548
78,44.59559274506451
79,44.34637370755582
80,44.08061199043029
81,43.77990149756445
82,43.46688171483233
83,43.224574045104845
84,42.8927057960416
85,42.626849154680045
86,42.29690550312506
87,41.958878070820575
88,41.58060091580195
89,41.350569452399924
90,41.095432189409614
91,40.805206522258445
92,40.53003306046477
93,40.353488556465095
94,40.095509036942396
95,40.15482390083344
96,40.38681363301649
97,40.734530011705196
98,41.236323732114585
99,41.807947243075034
100,42.31962719154964
